,0,1,2,name,label,pred
0,0.29159818375828095,0.07666666666666666,30240.0,Link_Error_4_range10-flw0-rtt,L,L
1,0.39706690582329546,0.11721451559108785,30240.0,Link_Error_4_range10-flw1-rtt,L,L
2,0.14901229933434457,0.13102292655966755,30240.0,Link_Error_4_range10-flw2-rtt,L,L
6,0.2614720567848309,0.12999999999999998,30240.0,Link_Error_5_range10-flw0-rtt,L,L
7,0.1589519424032332,0.19086664271569342,30240.0,Link_Error_5_range10-flw1-rtt,L,L
8,0.26051497101149884,0.09068380729449124,30240.0,Link_Error_5_range10-flw2-rtt,L,L
21,0.1946417106778721,0.06333333333333332,31680.0,Link_Error_6_range10-flw0-rtt,L,L
22,0.17249886285223778,0.3047577405368284,30240.0,Link_Error_6_range10-flw1-rtt,L,L
23,0.2353754115662184,0.05037989294138403,31680.0,Link_Error_6_range10-flw2-rtt,L,L
9,0.5932059543533714,0.15,16806016.0,Normal_2_range10-flw0-rtt,N,N
10,0.5853623927049689,0.15739180744833625,30240.0,Normal_2_range10-flw1-rtt,N,N
11,0.5934730268525623,0.21829820562569252,30240.0,Normal_2_range10-flw2-rtt,N,N
3,0.5918353318887168,0.15,30240.0,Normal_6_range10-flw0-rtt,N,N
4,0.5929254371935974,0.16407834198366628,30240.0,Normal_6_range10-flw1-rtt,N,N
5,0.5874884076827961,0.1579206460849472,30240.0,Normal_6_range10-flw2-rtt,N,N
18,0.47537496521308675,0.17666666666666664,31680.0,Normal_9_range10-flw0-rtt,N,N
19,0.585253673266333,0.15739180744833625,30240.0,Normal_9_range10-flw1-rtt,N,N
20,0.5921110130372428,0.2115813377602866,31680.0,Normal_9_range10-flw2-rtt,N,N
15,0.05222201997065502,1.6433333333333333,16806016.0,TCP_Congestion_4_range10-flw0-rtt,T,T
16,0.07252173928100025,0.793709719859652,30240.0,TCP_Congestion_4_range10-flw1-rtt,T,T
17,0.10806043028683969,0.5004402698844147,30240.0,TCP_Congestion_4_range10-flw2-rtt,T,T
24,0.11718951164775239,1.2033333333333334,31680.0,TCP_Congestion_6_range10-flw0-rtt,T,T
25,0.11619105617375924,1.2090649865061982,30240.0,TCP_Congestion_6_range10-flw1-rtt,T,T
26,0.15313185103551968,1.2131280075535196,31680.0,TCP_Congestion_6_range10-flw2-rtt,T,T
12,0.05355504513532245,1.4633333333333334,16806016.0,TCP_Congestion_9_range10-flw0-rtt,T,T
13,0.05930054545820566,1.4629190363360636,30240.0,TCP_Congestion_9_range10-flw1-rtt,T,T
14,0.09150965697429897,0.9105637252983128,30240.0,TCP_Congestion_9_range10-flw2-rtt,T,T
