,0,1,2,3,4,5,name,label,pred
3,0.37021200687714195,0.08999999999999998,0.16266894931011394,0.016666666666666666,182880.0,3279.0,Link_Error_0_range10-flw0-rtt,L,L
4,0.15925570557854304,0.3314608251975046,0.1318992820745858,0.20423343774795738,34560.0,3279.0,Link_Error_0_range10-flw1-rtt,L,L
5,0.4283476971218321,0.06381453105908644,0.12162709077043678,0.1914435931772593,36000.0,3279.0,Link_Error_0_range10-flw2-rtt,L,L
12,0.3338180001973678,0.056666666666666664,0.3154242837287874,0.10333333333333332,30240.0,2336.0,Link_Error_1_range10-flw0-rtt,L,L
13,0.4280303726721927,0.01674156676220409,0.14420768023109265,0.07031458040125718,30240.0,2336.0,Link_Error_1_range10-flw1-rtt,L,L
14,0.24473063734815306,0.04367137451922434,0.16343566205575905,0.08398341253696989,30240.0,2336.0,Link_Error_1_range10-flw2-rtt,L,L
18,0.16936675995945422,0.16999999999999998,0.13010550975131607,0.06333333333333332,36000.0,2846.0,Link_Error_9_range10-flw0-rtt,L,L
19,0.2839459183422086,0.07030516425244869,0.2550339217069111,0.11047954382527651,169920.0,2846.0,Link_Error_9_range10-flw1-rtt,L,L
20,0.21090765819880206,0.030227935764830415,0.1099989100323612,0.12427040258874726,36000.0,2846.0,Link_Error_9_range10-flw2-rtt,L,L
24,0.5914766441223195,0.16999999999999998,0.13594174671255413,0.3433333333333333,36000.0,2034.0,Normal_0_range10-flw0-rtt,N,N
25,0.57646122693951,0.2041924184827881,0.14960477883386722,0.4184270870548937,169920.0,2034.0,Normal_0_range10-flw1-rtt,N,N
26,0.5934849625421289,0.21829820562569252,0.1492992628596986,0.439954845184088,36000.0,2034.0,Normal_0_range10-flw2-rtt,N,N
15,0.5932059543533714,0.15,0.1702479013968319,0.2966666666666667,30240.0,1932.0,Normal_2_range10-flw0-rtt,N,N
16,0.5853623927049689,0.15739180744833625,0.14627085038493953,0.3181323767572754,30240.0,1932.0,Normal_2_range10-flw1-rtt,N,N
17,0.5934730268525623,0.21829820562569252,0.14931628379421163,0.439954845184088,30240.0,1932.0,Normal_2_range10-flw2-rtt,N,N
21,0.5785793939189001,0.21,0.16283088637765863,0.43,36000.0,1932.0,Normal_4_range10-flw0-rtt,N,N
22,0.5878575603675156,0.15071447200215765,0.17371485207910478,0.2980797335153785,169920.0,1932.0,Normal_4_range10-flw1-rtt,N,N
23,0.5875666988719287,0.1579206460849472,0.14857383173855113,0.31920130591638274,36000.0,1932.0,Normal_4_range10-flw2-rtt,N,N
0,0.05222201997065502,1.6433333333333333,0.04123647239072019,1.5966666666666667,182880.0,2194.0,TCP_Congestion_4_range10-flw0-rtt,T,T
1,0.07252173928100025,0.793709719859652,0.0707434776947397,1.6443522044349752,34560.0,2194.0,TCP_Congestion_4_range10-flw1-rtt,T,T
2,0.10806043028683969,0.5004402698844147,0.05640709974150219,0.7892849894150165,36000.0,2194.0,TCP_Congestion_4_range10-flw2-rtt,T,T
6,0.10037237285747526,0.37666666666666665,0.07273887574197947,1.2966666666666666,182880.0,2153.0,TCP_Congestion_5_range10-flw0-rtt,T,T
7,0.060272956751404344,0.59277055027493,0.05997941853877721,1.2759637268629849,34560.0,2153.0,TCP_Congestion_5_range10-flw1-rtt,T,T
8,0.13653022536979648,1.2870582462409919,0.06888171392640641,0.27891862777546295,36000.0,2153.0,TCP_Congestion_5_range10-flw2-rtt,T,T
9,0.09288823119902406,0.49,0.06118346033440823,1.4766666666666666,30240.0,2282.0,TCP_Congestion_7_range10-flw0-rtt,T,T
10,0.05399014377878553,1.5903423431193402,0.040534887686528596,0.09709458515886499,30240.0,2282.0,TCP_Congestion_7_range10-flw1-rtt,T,T
11,0.06676969366915371,0.2721976969856928,0.05176746276880903,0.8233140217468485,30240.0,2282.0,TCP_Congestion_7_range10-flw2-rtt,T,T
