,0,1,2,3,4,name,label,pred
3,0.17314495642375546,0.08333333333333331,0.1699596192766062,0.09666666666666665,31680.0,Link_Error_3_range50-flw0-rtt,L,L
4,0.162754411139824,2.4592542997444493,0.07106777821212486,0.08387634037327589,95040.0,Link_Error_3_range50-flw1-rtt,L,T
5,0.13852215553108882,0.13813186357436816,0.10885841891859784,0.24594209855924087,149760.0,Link_Error_3_range50-flw2-rtt,L,L
0,0.24987401214091975,0.08999999999999998,0.12300741874675196,0.18999999999999997,31680.0,Link_Error_4_range50-flw0-rtt,L,L
1,0.2517213984289615,0.31804717161822027,0.14552510554403014,0.1640453832557136,95040.0,Link_Error_4_range50-flw1-rtt,L,L
2,0.25133606070635595,0.06387962765035735,0.15975322927807542,0.10422465564005673,149760.0,Link_Error_4_range50-flw2-rtt,L,L
24,0.3177258069000951,0.06333333333333332,0.26064389632046414,0.11666666666666665,30240.0,Link_Error_7_range50-flw0-rtt,L,L
25,0.44097750432933475,0.07715587865902948,0.22392463372377852,0.12412032653843873,280800.0,Link_Error_7_range50-flw1-rtt,L,L
26,0.1013877915047222,0.05044427449581535,0.09463811459236858,0.2522213724790768,214560.0,Link_Error_7_range50-flw2-rtt,L,L
6,0.5664369487407124,0.12999999999999998,0.16787102744775173,0.25666666666666665,31680.0,Normal_3_range50-flw0-rtt,N,N
7,0.7810483224049551,0.04365084521635257,0.130778861260415,0.09065944775703995,95040.0,Normal_3_range50-flw1-rtt,N,N
8,0.7306339924948672,0.057243330251285085,0.23575307644528945,0.11111940578190635,149760.0,Normal_3_range50-flw2-rtt,N,N
9,0.7803203543239953,0.04333333333333333,0.12384256791815923,0.08999999999999998,151200.0,Normal_4_range50-flw0-rtt,N,N
10,0.6192919954090449,0.10389511848115525,0.158518513582218,0.2111416923971865,28800.0,Normal_4_range50-flw1-rtt,N,N
11,0.605740091384786,0.10424448924117848,0.16049686168965843,0.2051262530229641,280800.0,Normal_4_range50-flw2-rtt,N,N
15,0.577115556695574,0.12333333333333332,0.20742746590065025,0.24333333333333332,151200.0,Normal_8_range50-flw0-rtt,N,N
16,0.6519665815744221,0.09051356491597677,0.245397649758686,0.17767477557580627,28800.0,Normal_8_range50-flw1-rtt,N,N
17,0.7806672455961404,0.04380381108656264,0.12315374966789124,0.09097714610286087,280800.0,Normal_8_range50-flw2-rtt,N,N
21,0.11825410963241059,0.3233333333333333,0.1177171250504938,0.37,30240.0,TCP_Congestion_4_range50-flw0-rtt,T,T
22,0.12236840028206376,0.7485787996508737,0.09745876513538224,0.3726109720235291,280800.0,TCP_Congestion_4_range50-flw1-rtt,T,T
23,0.08140242179888206,0.6624123652818852,0.0760980337204805,0.3194374350344116,214560.0,TCP_Congestion_4_range50-flw2-rtt,T,T
12,0.20554944733340805,0.7299999999999999,0.09538679872209593,0.30333333333333334,151200.0,TCP_Congestion_8_range50-flw0-rtt,T,T
13,0.12395107584230242,0.7270221711274166,0.10030571531240476,0.6533148542389228,28800.0,TCP_Congestion_8_range50-flw1-rtt,T,T
14,0.19493368098599437,0.7299568891497896,0.13555271447270117,0.6559520432452026,280800.0,TCP_Congestion_8_range50-flw2-rtt,T,T
18,0.2749325497799579,0.33666666666666667,0.1899357062144465,0.26333333333333336,30240.0,TCP_Congestion_9_range50-flw0-rtt,T,T
19,0.19250903686902798,0.3388831545310876,0.12079808663240706,0.13756642906707514,280800.0,TCP_Congestion_9_range50-flw1-rtt,T,T
20,0.19641316185028582,0.33990959683591954,0.1314491059661784,0.1985610516170223,214560.0,TCP_Congestion_9_range50-flw2-rtt,T,T
