,0,1,2,3,name,label,pred
6,0.2946277338416856,0.04333333333333333,122400.0,2082.0,Link_Error_0_range50-flw0-rtt,L,L
7,0.22034856734189556,0.09712059863261564,28800.0,2082.0,Link_Error_0_range50-flw1-rtt,L,L
8,0.2362133804285677,0.09078137648976861,224640.0,2082.0,Link_Error_0_range50-flw2-rtt,L,L
3,0.17314495642375546,0.08333333333333331,122400.0,2054.0,Link_Error_3_range50-flw0-rtt,L,L
4,0.162754411139824,2.4592542997444493,28800.0,2054.0,Link_Error_3_range50-flw1-rtt,L,T
5,0.13852215553108882,0.13813186357436816,224640.0,2054.0,Link_Error_3_range50-flw2-rtt,L,L
30,0.26498018407602486,0.06333333333333332,31680.0,3165.0,Link_Error_9_range50-flw0-rtt,L,L
31,0.328711563590175,0.056917515437955334,280800.0,3165.0,Link_Error_9_range50-flw1-rtt,L,L
32,0.17340228615941122,0.13105815040051874,30240.0,3165.0,Link_Error_9_range50-flw2-rtt,L,L
21,0.5878082536086505,0.16999999999999998,28800.0,1894.0,Normal_1_range50-flw0-rtt,N,N
22,0.7392981497350808,0.043644983245866,31680.0,1894.0,Normal_1_range50-flw1-rtt,N,N
23,0.5975677650490292,0.14450001198005913,51840.0,1894.0,Normal_1_range50-flw2-rtt,N,N
9,0.4752816935092991,0.17666666666666664,151200.0,2621.0,Normal_6_range50-flw0-rtt,N,L
10,0.7808238655434471,0.0436567087616966,28800.0,2621.0,Normal_6_range50-flw1-rtt,N,N
11,0.585677301901523,0.20487823129496172,280800.0,2621.0,Normal_6_range50-flw2-rtt,N,N
24,0.5954197428952538,0.10999999999999999,28800.0,1872.0,Normal_7_range50-flw0-rtt,N,N
25,0.5979005320159907,0.15070437718854152,31680.0,1872.0,Normal_7_range50-flw1-rtt,N,N
26,0.5964666753230669,0.1914693163870224,51840.0,1872.0,Normal_7_range50-flw2-rtt,N,N
15,0.20461595921209152,0.6099999999999999,151200.0,2075.0,TCP_Congestion_2_range50-flw0-rtt,T,T
16,0.3135834906458596,0.6136454014168099,28800.0,2075.0,TCP_Congestion_2_range50-flw1-rtt,T,T
17,0.23393636070312065,0.6153373748557613,280800.0,2075.0,TCP_Congestion_2_range50-flw2-rtt,T,T
27,0.19272096153006116,0.43666666666666665,31680.0,1548.0,TCP_Congestion_5_range50-flw0-rtt,T,U
28,0.39288837278500877,0.4464917714755744,280800.0,1548.0,TCP_Congestion_5_range50-flw1-rtt,T,U
29,0.3343602484407545,0.44799572942176247,30240.0,1548.0,TCP_Congestion_5_range50-flw2-rtt,T,U
18,0.20554944733340805,0.7299999999999999,28800.0,1938.0,TCP_Congestion_8_range50-flw0-rtt,T,T
19,0.12395107584230242,0.7270221711274166,31680.0,1938.0,TCP_Congestion_8_range50-flw1-rtt,T,T
20,0.19493368098599437,0.7299568891497896,51840.0,1938.0,TCP_Congestion_8_range50-flw2-rtt,T,T
12,0.06527132341443811,0.18999999999999997,151200.0,2293.0,UDP_Congestion_4_range50-flw0-rtt,U,U
13,0.1335500031126267,0.1575712147295694,28800.0,2293.0,UDP_Congestion_4_range50-flw1-rtt,U,T
14,0.12856895996448017,0.1043155266056414,280800.0,2293.0,UDP_Congestion_4_range50-flw2-rtt,U,L
33,0.1964702373481483,0.15666666666666665,31680.0,1665.0,UDP_Congestion_7_range50-flw0-rtt,U,U
34,0.15602703816874125,0.3115391800885059,280800.0,1665.0,UDP_Congestion_7_range50-flw1-rtt,U,U
35,0.1779631347308705,0.15161835920431088,30240.0,1665.0,UDP_Congestion_7_range50-flw2-rtt,U,U
0,0.15915689034751665,0.3433333333333333,122400.0,1665.0,UDP_Congestion_9_range50-flw0-rtt,U,U
1,0.17790677154633544,0.345640518357421,28800.0,1665.0,UDP_Congestion_9_range50-flw1-rtt,U,U
2,0.12242020977464418,0.33970422256048394,224640.0,1665.0,UDP_Congestion_9_range50-flw2-rtt,U,U
