,0,1,name,label,pred
21,0.32373749499401605,0.09666666666666665,Link_Error_2_range50-flw0-rtt,L,L
22,0.21693436456718784,2.465798949220745,Link_Error_2_range50-flw1-rtt,L,T
23,0.14890646809206837,0.03027470968824012,Link_Error_2_range50-flw2-rtt,L,L
0,0.11586214001659301,0.056666666666666664,Link_Error_5_range50-flw0-rtt,L,L
1,0.2638779780433013,0.09048323173127633,Link_Error_5_range50-flw1-rtt,L,L
2,0.12838702363461837,0.05713559180020907,Link_Error_5_range50-flw2-rtt,L,L
3,0.26498018407602486,0.06333333333333332,Link_Error_9_range50-flw0-rtt,L,L
4,0.328711563590175,0.056917515437955334,Link_Error_9_range50-flw1-rtt,L,L
5,0.17340228615941122,0.13105815040051874,Link_Error_9_range50-flw2-rtt,L,L
9,0.5878082536086505,0.16999999999999998,Normal_1_range50-flw0-rtt,N,N
10,0.7392981497350808,0.043644983245866,Normal_1_range50-flw1-rtt,N,N
11,0.5975677650490292,0.14450001198005913,Normal_1_range50-flw2-rtt,N,N
18,0.7803203543239953,0.04333333333333333,Normal_4_range50-flw0-rtt,N,N
19,0.6192919954090449,0.10389511848115525,Normal_4_range50-flw1-rtt,N,N
20,0.605740091384786,0.10424448924117848,Normal_4_range50-flw2-rtt,N,N
12,0.6381170019214999,0.08333333333333331,Normal_9_range50-flw0-rtt,N,N
13,0.5959139529922949,0.19751080810944566,Normal_9_range50-flw1-rtt,N,N
14,0.7372335729109982,0.05723947545340651,Normal_9_range50-flw2-rtt,N,N
6,0.10700017930156976,0.5366666666666666,TCP_Congestion_0_range50-flw0-rtt,T,U
7,0.19342868142914169,0.5462140114080984,TCP_Congestion_0_range50-flw1-rtt,T,U
8,0.24999286885854316,0.548714706493345,TCP_Congestion_0_range50-flw2-rtt,T,T
30,0.19272096153006116,0.43666666666666665,TCP_Congestion_5_range50-flw0-rtt,T,U
31,0.39288837278500877,0.4464917714755744,TCP_Congestion_5_range50-flw1-rtt,T,T
32,0.3343602484407545,0.44799572942176247,TCP_Congestion_5_range50-flw2-rtt,T,T
24,0.2749325497799579,0.33666666666666667,TCP_Congestion_9_range50-flw0-rtt,T,L
25,0.19250903686902798,0.3388831545310876,TCP_Congestion_9_range50-flw1-rtt,T,U
26,0.19641316185028582,0.33990959683591954,TCP_Congestion_9_range50-flw2-rtt,T,U
15,0.14363958245677852,0.24333333333333332,UDP_Congestion_2_range50-flw0-rtt,U,U
16,0.11757144178923941,0.2449027764493573,UDP_Congestion_2_range50-flw1-rtt,U,T
17,0.21044530405304077,0.24595867159810433,UDP_Congestion_2_range50-flw2-rtt,U,U
33,0.33891278930068813,0.15666666666666665,UDP_Congestion_5_range50-flw0-rtt,U,L
34,0.3275615523912908,0.15772985527144753,UDP_Congestion_5_range50-flw1-rtt,U,T
35,0.28642864091126874,0.15822900402955406,UDP_Congestion_5_range50-flw2-rtt,U,T
27,0.15915689034751665,0.3433333333333333,UDP_Congestion_9_range50-flw0-rtt,U,U
28,0.17790677154633544,0.345640518357421,UDP_Congestion_9_range50-flw1-rtt,U,U
29,0.12242020977464418,0.33970422256048394,UDP_Congestion_9_range50-flw2-rtt,U,T
