,0,1,2,3,4,5,6,7,name,label,pred
9,0.29159818375828095,0.07666666666666666,0.25456184888931094,0.12333333333333332,0.19077093268025397,0.2033333333333333,0.102639508957927,0.1633333333333333,Link_Error_4_range10-flw0-rtt,L,L
10,0.39706690582329546,0.11721451559108785,0.2369196740292765,0.23108004502243032,0.1569379351407798,0.3583415190927543,0.09159502674703143,0.17749626646650443,Link_Error_4_range10-flw1-rtt,L,L
11,0.14901229933434457,0.13102292655966755,0.14611742974896064,0.17133767319341142,0.13582660489162268,0.2586862908998564,0.12860942623266164,0.06383168217009444,Link_Error_4_range10-flw2-rtt,L,L
24,0.2614720567848309,0.12999999999999998,0.2532479911966734,0.17666666666666664,0.10776653831974621,0.22999999999999998,0.0869156199611527,0.41,Link_Error_5_range10-flw0-rtt,L,L
25,0.1589519424032332,0.19086664271569342,0.10809383694079762,0.09041051497059163,0.10437783437063425,0.49223502595099883,0.08576620404514265,0.3047169208268088,Link_Error_5_range10-flw1-rtt,L,L
26,0.26051497101149884,0.09068380729449124,0.15784068833630072,0.28548606000117616,0.12457067768164926,0.13770504070644968,0.09488579570274866,0.1847262741184081,Link_Error_5_range10-flw2-rtt,L,L
12,0.16936675995945422,0.16999999999999998,0.13010550975131607,0.06333333333333332,0.10381889367893384,0.21666666666666665,0.10006097612098978,0.10999999999999999,Link_Error_9_range10-flw0-rtt,L,L
13,0.2839459183422086,0.07030516425244869,0.2550339217069111,0.11047954382527651,0.11473341942457414,0.15065392339810435,0.11080213261043098,0.31135144168941564,Link_Error_9_range10-flw1-rtt,L,L
14,0.21090765819880206,0.030227935764830415,0.1099989100323612,0.12427040258874726,0.09654008862643479,0.21159555035381292,0.09349577149905608,0.31907265529543216,Link_Error_9_range10-flw2-rtt,L,L
15,0.5785793939189001,0.21,0.16283088637765863,0.43,0.06798249269355597,0.6433333333333332,0.04046345706879319,0.8633333333333333,Normal_4_range10-flw0-rtt,N,N
16,0.5878575603675156,0.15071447200215765,0.17371485207910478,0.2980797335153785,0.06880500621365161,0.44544499502859936,0.044253588767685516,0.09712710417916828,Normal_4_range10-flw1-rtt,N,N
17,0.5875666988719287,0.1579206460849472,0.14857383173855113,0.31920130591638274,0.07022070461883557,0.4804819657478182,0.04151346081788074,0.6417626255792537,Normal_4_range10-flw2-rtt,N,N
0,0.578411078101052,0.21,0.1493401455488387,0.4166666666666667,0.07581581316980751,0.6299999999999999,0.04760955382739426,0.8366666666666666,Normal_5_range10-flw0-rtt,N,N
1,0.5996679606862548,0.17076398097448173,0.14468025030765572,0.3448762753014043,0.0669820441557075,0.5256851963332084,0.06368109822106198,0.12388759404031027,Normal_5_range10-flw1-rtt,N,N
2,0.593570754899289,0.21829820562569252,0.14934285901719588,0.439954845184088,0.0650007822266117,0.6683283526078894,0.040785888307281554,0.8899849921662849,Normal_5_range10-flw2-rtt,N,N
30,0.4753795280461344,0.17666666666666664,0.0748054867901002,0.12333333333333332,0.060309226885815935,0.35,0.05323946917068365,0.08999999999999998,Normal_7_range10-flw0-rtt,N,N
31,0.5882940757787359,0.2175675194855981,0.14554794551999903,0.43848223157866695,0.06605533473916503,0.6660913288866773,0.04151457559068719,0.8870060409797461,Normal_7_range10-flw1-rtt,N,N
32,0.5700812221685895,0.14450001198005913,0.16500015565421416,0.29236048935500336,0.09152726867687441,0.4402209667299476,0.05554215991518287,0.5813605133151216,Normal_7_range10-flw2-rtt,N,N
33,0.0757548645395156,0.43666666666666665,0.06403261330372308,0.9033333333333332,0.04073983000778827,1.5833333333333333,0.033652992272309425,0.1433333333333333,TCP_Congestion_2_range10-flw0-rtt,T,T
34,0.05922258896383497,0.9878847488778552,0.05660145505408562,0.9075144642233856,0.055888535439992615,0.5324531358358608,0.05407962380863258,0.3449224716420986,TCP_Congestion_2_range10-flw1-rtt,T,T
35,0.05317327528832709,1.2462301119225492,0.052248320625119735,0.9103190305418082,0.05187136307905633,1.5552683067928308,0.045892220453034975,0.40645240847069664,TCP_Congestion_2_range10-flw2-rtt,T,T
3,0.05222201997065502,1.6433333333333333,0.04123647239072019,1.5966666666666667,0.037999551094232385,0.35,0.03557203844539411,1.31,TCP_Congestion_4_range10-flw0-rtt,T,T
4,0.07252173928100025,0.793709719859652,0.0707434776947397,1.6443522044349752,0.07022053603354039,0.3047577405368284,0.06296919123011058,1.1754941420706237,TCP_Congestion_4_range10-flw1-rtt,T,T
5,0.10806043028683969,0.5004402698844147,0.05640709974150219,0.7892849894150165,0.05296209097813757,1.6491018289479706,0.03464252771406594,1.1721721757695351,TCP_Congestion_4_range10-flw2-rtt,T,T
27,0.05355504513532245,1.4633333333333334,0.05292886942293209,0.9099999999999999,0.03770596053768747,0.35,0.03625512744916511,0.7233333333333333,TCP_Congestion_9_range10-flw0-rtt,T,T
28,0.05930054545820566,1.4629190363360636,0.0559041283184267,0.29124475094104696,0.05470414806414619,0.4050645386651343,0.052634800945008595,0.8268672814073403,TCP_Congestion_9_range10-flw1-rtt,T,T
29,0.09150965697429897,0.9105637252983128,0.07651185457601381,0.7291229829879479,0.05427941864359009,1.4683260072153603,0.04610123350418276,0.6417626255792537,TCP_Congestion_9_range10-flw2-rtt,T,T
21,0.05109406529556317,0.33,0.046027386118675497,0.6699999999999999,0.040671504706759114,0.5966666666666666,0.03555517235620452,0.41,UDP_Congestion_0_range10-flw0-rtt,T,T
22,0.04481880090359483,0.4118149646393239,0.04112049445627535,0.23771432918204874,0.04069210983562842,0.8470665532825117,0.03426054021516329,0.19753725946113912,UDP_Congestion_0_range10-flw1-rtt,T,T
23,0.08765580577384932,0.6754081506575502,0.08084725686948602,0.3259432368844894,0.07868650969401321,0.4133094653277546,0.06502560368813755,0.49395521465999936,UDP_Congestion_0_range10-flw2-rtt,T,T
6,0.03433986813561972,0.7633333333333332,0.03412880226767686,0.7233333333333333,0.033788711336620265,0.37666666666666665,0.03015877496904099,1.27,UDP_Congestion_7_range10-flw0-rtt,T,T
7,0.08286616417914185,0.5388980098027891,0.036561948272430124,1.1882533756521128,0.030329035724321395,1.509583865969304,0.03003307354024456,1.121309523502698,UDP_Congestion_7_range10-flw1-rtt,T,T
8,0.0875388176026023,0.31252621187583474,0.06473639031366253,0.2587582614455836,0.057022465508197395,1.1996973939749784,0.04598946507931436,1.381164226677076,UDP_Congestion_7_range10-flw2-rtt,T,T
18,0.0470642791248318,0.9633333333333333,0.03826174126241241,0.47,0.03383838491835734,0.43,0.032827191291656906,1.69,UDP_Congestion_8_range10-flw0-rtt,T,T
19,0.11541385369421336,0.3716876726568767,0.045955517249733395,0.6864502062581957,0.03880619207100435,0.4788408755849853,0.028386166674496675,1.175336694617691,UDP_Congestion_8_range10-flw1-rtt,T,T
20,0.14069459772491033,0.3662173314401577,0.06711951654967688,0.7357944549118767,0.04252508901758103,0.2654235704933253,0.041407433125968784,0.4804502605132345,UDP_Congestion_8_range10-flw2-rtt,T,T
