,amplitude_1,frequency_1,name,label,pred
15,0.14321886591340707,0.016666666666666666,Link_Error_0_range100-flw0-rtt,L,L
16,0.1563471072105518,2.867224084092094,Link_Error_0_range100-flw1-rtt,L,L
17,0.16437902124210296,4.995983114725573,Link_Error_0_range100-flw2-rtt,L,L
12,0.19880173442030677,0.16426535855121713,Link_Error_2_range100-flw0-rtt,L,T
13,0.1395986058066504,0.27,Link_Error_2_range100-flw1-rtt,L,T
14,0.13318078291603877,0.1990836550530823,Link_Error_2_range100-flw2-rtt,L,T
18,0.08546828916763076,0.08999999999999998,Link_Error_6_range100-flw0-rtt,L,L
19,0.14377016122084316,1.8707733578900603,Link_Error_6_range100-flw1-rtt,L,L
20,0.14973104285609642,0.12474804687546096,Link_Error_6_range100-flw2-rtt,L,L
21,0.5822718280148793,0.18333333333333332,Normal_5_range100-flw0-rtt,N,N
22,0.7083118274527103,0.0503562148280723,Normal_5_range100-flw1-rtt,N,N
23,0.7049712537162663,0.07067427260944863,Normal_5_range100-flw2-rtt,N,N
9,0.6965826886089571,0.049999999999999996,Normal_8_range100-flw0-rtt,N,N
10,0.7021730712345211,0.06373746497919827,Normal_8_range100-flw1-rtt,N,N
11,0.5863824474941385,0.043937053343942656,Normal_8_range100-flw2-rtt,N,N
3,0.7297765628848887,0.03666666666666667,Normal_9_range100-flw0-rtt,N,N
4,0.7600128356048388,0.0369626351106122,Normal_9_range100-flw1-rtt,N,N
5,0.7534007711551179,0.03707725649739314,Normal_9_range100-flw2-rtt,N,N
24,0.20008232378626029,0.23666666666666664,TCP_Congestion_1_range100-flw0-rtt,T,T
25,0.20272788765461064,0.2324344956641366,TCP_Congestion_1_range100-flw1-rtt,T,T
26,0.27848643107671545,0.11789361300572697,TCP_Congestion_1_range100-flw2-rtt,T,L
0,0.3017883227294878,0.2966666666666667,TCP_Congestion_5_range100-flw0-rtt,T,T
1,0.30457718164917175,0.2931485818869961,TCP_Congestion_5_range100-flw1-rtt,T,T
2,0.2255623373433975,0.12439574347351846,TCP_Congestion_5_range100-flw2-rtt,T,L
6,0.26013705812391713,0.48333333333333334,TCP_Congestion_8_range100-flw0-rtt,T,T
7,0.2554387355949819,0.4864501328394667,TCP_Congestion_8_range100-flw1-rtt,T,T
8,0.20907276647864473,0.48074041285112584,TCP_Congestion_8_range100-flw2-rtt,T,T
