,amplitude_1,frequency_1,amplitude_2,frequency_2,name,label,pred
3,0.2538743914131486,0.02333333333333333,0.24223743238079432,0.15666666666666665,Link_Error_3_range100-flw0-rtt,L,L
4,0.11176617326577862,2.532725582068142,0.09610631281131594,0.13753874021826995,Link_Error_3_range100-flw1-rtt,L,L
5,0.33923195062203254,4.633669241118876,0.1970734426644224,0.023658413339046048,Link_Error_3_range100-flw2-rtt,L,L
0,0.08546828916763076,0.08999999999999998,0.07422081278496431,0.049999999999999996,Link_Error_6_range100-flw0-rtt,L,L
1,0.14377016122084316,1.8707733578900603,0.09003671362851552,1.763296252948441,Link_Error_6_range100-flw1-rtt,L,L
2,0.14973104285609642,0.12474804687546096,0.142087340066054,0.15846373522018015,Link_Error_6_range100-flw2-rtt,L,L
12,0.10075525543649647,0.29,0.09958008905983778,0.06333333333333332,Link_Error_7_range100-flw0-rtt,L,L
13,0.1380864719373661,0.16459737533697114,0.12547236088114075,0.28552605925801117,Link_Error_7_range100-flw1-rtt,L,T
14,0.14058111872541215,1.2657893295174678,0.13297643124606615,0.037129820332512393,Link_Error_7_range100-flw2-rtt,L,L
18,0.5913234619057609,0.16999999999999998,0.1359556343947918,0.3433333333333333,Normal_0_range100-flw0-rtt,N,N
19,0.5873707475548264,0.16407834198366628,0.13375698123469723,0.3382022967418427,Normal_0_range100-flw1-rtt,N,N
20,0.6935868040216379,0.07066951592694025,0.12615768392123564,0.13124338672146044,Normal_0_range100-flw2-rtt,N,N
15,0.7492723637805765,0.03666666666666667,0.08679375786734767,0.08999999999999998,Normal_6_range100-flw0-rtt,N,N
16,0.5763260104956006,0.1239623056761033,0.20805787972856576,0.24457427876636598,Normal_6_range100-flw1-rtt,N,N
17,0.7730777977009231,0.04379495699722641,0.1366745591235049,0.0909587568403933,Normal_6_range100-flw2-rtt,N,N
24,0.6577600027612178,0.04333333333333333,0.2213637445159273,0.08999999999999998,Normal_7_range100-flw0-rtt,N,N
25,0.7760470411999851,0.043647914034291746,0.13427112129073682,0.09065335991737516,Normal_7_range100-flw1-rtt,N,N
26,0.592135322310768,0.19817422423104455,0.12365686105022146,0.39298956330563073,Normal_7_range100-flw2-rtt,N,N
6,0.3480087637492762,0.21,0.16033582763850587,0.04333333333333333,TCP_Congestion_3_range100-flw0-rtt,T,T
7,0.33307771022951943,0.21165241982715527,0.1389801526016023,0.043674308853222515,TCP_Congestion_3_range100-flw1-rtt,T,T
8,0.28059072254426753,0.21223709929425102,0.13604638756206586,0.06400801407286935,TCP_Congestion_3_range100-flw2-rtt,T,T
9,0.28426316491206677,0.2033333333333333,0.273010841571884,0.15666666666666665,TCP_Congestion_4_range100-flw0-rtt,T,T
10,0.2663559228841584,0.2054855686306135,0.10572008932184437,0.41433975314041743,TCP_Congestion_4_range100-flw1-rtt,T,T
11,0.22352910094975115,0.20590173093484143,0.12206539932496928,0.313915753720332,TCP_Congestion_4_range100-flw2-rtt,T,T
21,0.32627116386908606,0.1633333333333333,0.09640398989508471,0.12333333333333332,TCP_Congestion_7_range100-flw0-rtt,T,T
22,0.41597018816862164,0.16482897496930735,0.13068195459184972,0.1177349821209338,TCP_Congestion_7_range100-flw1-rtt,T,T
23,0.3978678030811263,0.165173459267871,0.07017222712460998,0.36068490085024885,TCP_Congestion_7_range100-flw2-rtt,T,T
