,amplitude_1,frequency_1,amplitude_2,frequency_2,amplitude_3,frequency_3,name,label,pred
24,0.2538743914131486,0.02333333333333333,0.24223743238079432,0.15666666666666665,0.16601159052689607,0.12999999999999998,Link_Error_3_range100-flw0-rtt,L,T
25,0.11176617326577862,2.532725582068142,0.09610631281131594,0.13753874021826995,0.06478731970962162,2.579690029947551,Link_Error_3_range100-flw1-rtt,L,L
26,0.33923195062203254,4.633669241118876,0.1970734426644224,0.023658413339046048,0.1131610771452819,1.125464520271762,Link_Error_3_range100-flw2-rtt,L,L
3,0.12406704428813432,0.056666666666666664,0.0993491997684664,0.13666666666666666,0.09333234085332383,0.16999999999999998,Link_Error_5_range100-flw0-rtt,L,L
4,0.5202398582788051,0.06375885354601407,0.3967098022890037,0.10402760315402296,0.21350320668579548,0.14429635276203184,Link_Error_5_range100-flw1-rtt,L,L
5,0.21947509487945083,0.11135939005829934,0.13714083791571524,0.15185371371586273,0.13687853192995386,1.440923016814964,Link_Error_5_range100-flw2-rtt,L,T
15,0.26835606543167206,0.10333333333333332,0.226671933517612,0.1433333333333333,0.2092550268633038,0.18333333333333332,Link_Error_9_range100-flw0-rtt,L,T
16,0.5543823633143998,0.06378882166703492,0.49327179140197497,0.016786532017640767,0.4227038502423348,0.09736188570231646,Link_Error_9_range100-flw1-rtt,L,L
17,0.2612803663129507,0.1250769772734794,0.23563486815717824,0.09127238882118767,0.18480349260156165,0.17240340110668784,Link_Error_9_range100-flw2-rtt,L,L
21,0.572194591931221,0.11666666666666665,0.22491326305685294,0.22999999999999998,0.12078872048783355,0.3433333333333333,Normal_2_range100-flw0-rtt,N,N
22,0.6519036602861192,0.09051356491597677,0.24412129975215285,0.17767477557580627,0.0717053086908581,0.26483598623563576,Normal_2_range100-flw1-rtt,N,N
23,0.5893686831714291,0.1243706550733496,0.15215355645505463,0.25210267920273566,0.07547309334792159,0.3798347033321217,Normal_2_range100-flw2-rtt,N,N
12,0.5656066761898765,0.10999999999999999,0.2154217819920793,0.22999999999999998,0.11382023037530228,0.3433333333333333,Normal_3_range100-flw0-rtt,N,N
13,0.6039717878451101,0.050512222560354786,0.15924056262084604,0.09765696361668591,0.04675232997588344,0.17174155670520627,Normal_3_range100-flw1-rtt,N,N
14,0.5988103503941775,0.05067262333488493,0.07611462586373505,0.09796707178077754,0.04757270579685658,0.1722869193386088,Normal_3_range100-flw2-rtt,N,N
18,0.7492723637805765,0.03666666666666667,0.08679375786734767,0.08999999999999998,0.03318657704630082,0.15666666666666665,Normal_6_range100-flw0-rtt,N,N
19,0.5763260104956006,0.1239623056761033,0.20805787972856576,0.24457427876636598,0.10049374752417953,0.3651862518566286,Normal_6_range100-flw1-rtt,N,N
20,0.7730777977009231,0.04379495699722641,0.1366745591235049,0.0909587568403933,0.0568293324104331,0.1381225566835602,Normal_6_range100-flw2-rtt,N,N
6,0.3480087637492762,0.21,0.16033582763850587,0.04333333333333333,0.07574902321880395,0.12999999999999998,TCP_Congestion_3_range100-flw0-rtt,T,L
7,0.33307771022951943,0.21165241982715527,0.1389801526016023,0.043674308853222515,0.08178928319079123,0.09742730436488099,TCP_Congestion_3_range100-flw1-rtt,T,L
8,0.28059072254426753,0.21223709929425102,0.13604638756206586,0.06400801407286935,0.08593635755846835,0.11117181391603626,TCP_Congestion_3_range100-flw2-rtt,T,T
9,0.28426316491206677,0.2033333333333333,0.273010841571884,0.15666666666666665,0.11210159940951075,0.056666666666666664,TCP_Congestion_4_range100-flw0-rtt,T,T
10,0.2663559228841584,0.2054855686306135,0.10572008932184437,0.41433975314041743,0.09442016286252165,0.3132812767647059,TCP_Congestion_4_range100-flw1-rtt,T,T
11,0.22352910094975115,0.20590173093484143,0.12206539932496928,0.313915753720332,0.10169657848348995,0.36117188868898414,TCP_Congestion_4_range100-flw2-rtt,T,T
0,0.18934193796211232,0.24999999999999997,0.1886451132369534,0.30333333333333334,0.08022019256436205,0.12999999999999998,TCP_Congestion_6_range100-flw0-rtt,T,T
1,0.1466211496528292,0.29900103753360024,0.1173950663897229,0.2519671664608991,0.09446931899794206,0.17133767319341142,TCP_Congestion_6_range100-flw1-rtt,T,L
2,0.27420687390785486,0.3004545675052714,0.16025122281026632,0.2531920512684871,0.07785437125436166,0.4287385401479715,TCP_Congestion_6_range100-flw2-rtt,T,T
