,amplitude_1,frequency_1,amplitude_2,frequency_2,amplitude_3,frequency_3,amplitude_4,frequency_4,name,label,pred
21,0.19880173442030677,0.16426535855121713,0.18189155744943694,0.1106276904528605,0.13465677712463156,0.20449360962498458,0.12492523628068164,0.23801715218645744,Link_Error_2_range100-flw0-rtt,L,L
22,0.1395986058066504,0.27,0.07330259370892016,0.5099999999999999,0.06320310188800703,4.076666666666666,0.05700595220661724,0.11666666666666665,Link_Error_2_range100-flw1-rtt,L,L
23,0.13318078291603877,0.1990836550530823,0.13074873190819397,0.11810047333657425,0.11787195675237996,0.33405562458059573,0.11509402283708801,0.246323844387712,Link_Error_2_range100-flw2-rtt,L,L
0,0.2538743914131486,0.02333333333333333,0.24223743238079432,0.15666666666666665,0.16601159052689607,0.12999999999999998,0.16183687570450225,0.056666666666666664,Link_Error_3_range100-flw0-rtt,L,L
1,0.11176617326577862,2.532725582068142,0.09610631281131594,0.13753874021826995,0.06478731970962162,2.579690029947551,0.05901337125540878,2.4857611341887327,Link_Error_3_range100-flw1-rtt,L,L
2,0.33923195062203254,4.633669241118876,0.1970734426644224,0.023658413339046048,0.1131610771452819,1.125464520271762,0.05578948625348948,3.525103587517861,Link_Error_3_range100-flw2-rtt,L,T
6,0.12406704428813432,0.056666666666666664,0.0993491997684664,0.13666666666666666,0.09333234085332383,0.16999999999999998,0.08138880763419284,0.21,Link_Error_5_range100-flw0-rtt,L,L
7,0.5202398582788051,0.06375885354601407,0.3967098022890037,0.10402760315402296,0.21350320668579548,0.14429635276203184,0.17374559320869506,0.17785364410203924,Link_Error_5_range100-flw1-rtt,L,L
8,0.21947509487945083,0.11135939005829934,0.13714083791571524,0.15185371371586273,0.13687853192995386,1.440923016814964,0.09378550449746231,0.07086506640073595,Link_Error_5_range100-flw2-rtt,L,L
12,0.5913234619057609,0.16999999999999998,0.1359556343947918,0.3433333333333333,0.05906449420270504,0.5099999999999999,0.04673065885374595,0.11666666666666665,Normal_0_range100-flw0-rtt,N,N
13,0.5873707475548264,0.16407834198366628,0.13375698123469723,0.3382022967418427,0.05780452429857979,0.5123262515000193,0.045834095274177526,0.11719881570261878,Normal_0_range100-flw1-rtt,N,N
14,0.6935868040216379,0.07066951592694025,0.12615768392123564,0.13124338672146044,0.11961179095212886,0.14470424689802047,0.05574771477393803,0.19854768760426067,Normal_0_range100-flw2-rtt,N,N
15,0.6577600027612178,0.04333333333333333,0.2213637445159273,0.08999999999999998,0.08093033769873711,0.13666666666666666,0.027492325433688736,0.2833333333333333,Normal_7_range100-flw0-rtt,N,N
16,0.7760470411999851,0.043647914034291746,0.13427112129073682,0.09065335991737516,0.055641753096946245,0.13765880580045858,0.030092065740837465,0.19137931538112535,Normal_7_range100-flw1-rtt,N,N
17,0.592135322310768,0.19817422423104455,0.12365686105022146,0.39298956330563073,0.06478003984614351,0.5945226726931336,0.042444988961248944,0.7960557820806367,Normal_7_range100-flw2-rtt,N,N
9,0.7297765628848887,0.03666666666666667,0.061363322124792716,0.10999999999999999,0.02016364937956668,0.2033333333333333,0.017463305081341484,0.17666666666666664,Normal_9_range100-flw0-rtt,N,N
10,0.7600128356048388,0.0369626351106122,0.07890803327826038,0.084005988887755,0.025907393112069636,0.1579312591089794,0.0075951054161790136,0.2587384457742854,Normal_9_range100-flw1-rtt,N,N
11,0.7534007711551179,0.03707725649739314,0.09934648473607088,0.09100781140269226,0.03511728317828762,0.15842100503431616,0.02332708387784637,0.1988689212132905,Normal_9_range100-flw2-rtt,N,N
24,0.3694904311485708,0.06333333333333332,0.1347166311775862,0.12999999999999998,0.042511432234834175,0.2233333333333333,0.03933615790450377,0.27,TCP_Congestion_0_range100-flw0-rtt,T,T
25,0.2835015470128425,0.20540253796049354,0.1272450993496714,0.34682723622837436,0.09319554928213297,0.2794821418150978,0.06828089343072641,0.07744685857526806,TCP_Congestion_0_range100-flw1-rtt,T,T
26,0.2040324349654924,0.19844084022811548,0.17962206541982076,0.15135318322483385,0.12894956015901005,0.2858893460913528,0.12155264035973533,0.3397038112379604,TCP_Congestion_0_range100-flw2-rtt,T,T
18,0.13003774150734174,0.15,0.1180354227613141,0.4633333333333333,0.10696874489086707,0.10333333333333332,0.09728485451206396,0.18333333333333332,TCP_Congestion_2_range100-flw0-rtt,T,L
19,0.13094347227582695,0.45982747474531854,0.09609910807754109,0.3792737565417591,0.08916197887534628,0.097335742829301,0.07102648914638209,0.16446384133226719,TCP_Congestion_2_range100-flw1-rtt,T,T
20,0.21083390279617126,0.44938834698173047,0.11743822409818888,0.25341448138067507,0.08408660279642431,0.10474465230401236,0.0699058654052643,0.17232184733885905,TCP_Congestion_2_range100-flw2-rtt,T,T
3,0.1679491707032011,0.04333333333333333,0.16139226179604305,0.23666666666666664,0.13342429309185594,0.27666666666666667,0.052938467247115074,0.19666666666666666,TCP_Congestion_9_range100-flw0-rtt,T,L
4,0.18102470739192095,0.03698251832996495,0.1711016948375906,0.2319812513425074,0.1203919666560024,0.070602989539024,0.11558734771984482,0.2790499110351901,TCP_Congestion_9_range100-flw1-rtt,T,L
5,0.21950283411362495,0.043839263273761725,0.14127346189229217,0.23268532045304302,0.13572926261012047,0.27989683474786337,0.06282763795209234,0.1315177898212852,TCP_Congestion_9_range100-flw2-rtt,T,L
