,amplitude_1,frequency_1,amplitude_2,frequency_2,amplitude_3,frequency_3,amplitude_4,frequency_4,amplitude_5,frequency_5,name,label,pred
9,0.12406704428813432,0.056666666666666664,0.0993491997684664,0.13666666666666666,0.09333234085332383,0.16999999999999998,0.08138880763419284,0.21,0.06724275487290429,0.10333333333333332,Link_Error_5_range100-flw0-rtt,L,L
10,0.5202398582788051,0.06375885354601407,0.3967098022890037,0.10402760315402296,0.21350320668579548,0.14429635276203184,0.17374559320869506,0.17785364410203924,0.11011882944036644,0.21812239371004813,Link_Error_5_range100-flw1-rtt,L,L
11,0.21947509487945083,0.11135939005829934,0.13714083791571524,0.15185371371586273,0.13687853192995386,1.440923016814964,0.09378550449746231,0.07086506640073595,0.09131573482317978,0.34082722411782523,Link_Error_5_range100-flw2-rtt,L,T
15,0.10075525543649647,0.29,0.09958008905983778,0.06333333333333332,0.09233941665695515,0.21666666666666665,0.09112585170970765,0.1433333333333333,0.08482021668877626,0.08333333333333331,Link_Error_7_range100-flw0-rtt,L,L
16,0.1380864719373661,0.16459737533697114,0.12547236088114075,0.28552605925801117,0.12416509851800277,0.0638234720694378,0.1230320884648358,0.21162519686182005,0.11618325823410983,0.24521649795099784,Link_Error_7_range100-flw1-rtt,L,L
17,0.14058111872541215,1.2657893295174678,0.13297643124606615,0.037129820332512393,0.12042479577666072,0.12489121384572349,0.10099847944180941,4.256427585390738,0.0914030025027942,4.377943361024415,Link_Error_7_range100-flw2-rtt,L,L
0,0.26835606543167206,0.10333333333333332,0.226671933517612,0.1433333333333333,0.2092550268633038,0.18333333333333332,0.17107450486722714,0.06333333333333332,0.14215629130887533,0.25666666666666665,Link_Error_9_range100-flw0-rtt,L,L
1,0.5543823633143998,0.06378882166703492,0.49327179140197497,0.016786532017640767,0.4227038502423348,0.09736188570231646,0.0594594991117721,0.2450833674575552,0.058070568084507876,0.27865643149283675,Link_Error_9_range100-flw1-rtt,L,L
2,0.2612803663129507,0.1250769772734794,0.23563486815717824,0.09127238882118767,0.18480349260156165,0.17240340110668784,0.18040176054509735,0.04394596498797925,0.08038602163252284,0.9093434293666477,Link_Error_9_range100-flw2-rtt,L,L
24,0.5913234619057609,0.16999999999999998,0.1359556343947918,0.3433333333333333,0.05906449420270504,0.5099999999999999,0.04673065885374595,0.11666666666666665,0.033841687801670926,0.6833333333333332,Normal_0_range100-flw0-rtt,N,N
25,0.5873707475548264,0.16407834198366628,0.13375698123469723,0.3382022967418427,0.05780452429857979,0.5123262515000193,0.045834095274177526,0.11719881570261878,0.033630561847405795,0.679753131075189,Normal_0_range100-flw1-rtt,N,N
26,0.6935868040216379,0.07066951592694025,0.12615768392123564,0.13124338672146044,0.11961179095212886,0.14470424689802047,0.05574771477393803,0.19854768760426067,0.022575805783567257,0.36680843981126127,Normal_0_range100-flw2-rtt,N,N
