,0,1,name,label,pred
12,0.09117904526820027,0.31666666666666665,Link_Error_0005_3_range10-flw0-rtt,L,L
13,0.11204259447099793,0.05692895163024928,Link_Error_0005_3_range10-flw1-rtt,L,L
14,0.0634535587921208,0.6951958240695131,Link_Error_0005_3_range10-flw2-rtt,L,T
3,0.11963489463897978,0.17666666666666664,Link_Error_0005_7_range10-flw0-rtt,L,L
4,0.0879553852274763,0.3783340732052325,Link_Error_0005_7_range10-flw1-rtt,L,L
5,0.16278128044506385,0.2520010309866179,Link_Error_0005_7_range10-flw2-rtt,L,L
9,0.09181283248194949,0.08999999999999998,Link_Error_0005_9_range10-flw0-rtt,L,L
10,0.09466323065634397,0.10381161767868986,Link_Error_0005_9_range10-flw1-rtt,L,L
11,0.1200011405658219,0.28554360262569767,Link_Error_0005_9_range10-flw2-rtt,L,L
0,0.5932059543533714,0.15,Normal_2_range10-flw0-rtt,N,N
1,0.5853623927049689,0.15739180744833625,Normal_2_range10-flw1-rtt,N,N
2,0.5934730268525623,0.21829820562569252,Normal_2_range10-flw2-rtt,N,N
15,0.5785793939189001,0.21,Normal_4_range10-flw0-rtt,N,N
16,0.5878575603675156,0.15071447200215765,Normal_4_range10-flw1-rtt,N,N
17,0.5875666988719287,0.1579206460849472,Normal_4_range10-flw2-rtt,N,N
6,0.5918353318887168,0.15,Normal_6_range10-flw0-rtt,N,N
7,0.5929254371935974,0.16407834198366628,Normal_6_range10-flw1-rtt,N,N
8,0.5874884076827961,0.1579206460849472,Normal_6_range10-flw2-rtt,N,N
24,0.08729392604669617,1.3766666666666667,TCP_Congestion_0_range10-flw0-rtt,T,T
25,0.09323486175417765,1.382853414558058,TCP_Congestion_0_range10-flw1-rtt,T,T
26,0.11149478607637481,1.3877789364257125,TCP_Congestion_0_range10-flw2-rtt,T,T
18,0.09288823119902406,0.49,TCP_Congestion_7_range10-flw0-rtt,T,T
19,0.05399014377878553,1.5903423431193402,TCP_Congestion_7_range10-flw1-rtt,T,T
20,0.06676969366915371,0.2721976969856928,TCP_Congestion_7_range10-flw2-rtt,T,L
21,0.05355504513532245,1.4633333333333334,TCP_Congestion_9_range10-flw0-rtt,T,T
22,0.05930054545820566,1.4629190363360636,TCP_Congestion_9_range10-flw1-rtt,T,T
23,0.09150965697429897,0.9105637252983128,TCP_Congestion_9_range10-flw2-rtt,T,T
