,0,1,name,label,pred
27,0.3338180001973678,0.056666666666666664,Link_Error_1_range10-flw0-rtt,L,L
28,0.4280303726721927,0.01674156676220409,Link_Error_1_range10-flw1-rtt,L,L
29,0.24473063734815306,0.04367137451922434,Link_Error_1_range10-flw2-rtt,L,L
18,0.29159818375828095,0.07666666666666666,Link_Error_4_range10-flw0-rtt,L,L
19,0.39706690582329546,0.11721451559108785,Link_Error_4_range10-flw1-rtt,L,L
20,0.14901229933434457,0.13102292655966755,Link_Error_4_range10-flw2-rtt,L,L
30,0.1406758731397391,0.21666666666666665,Link_Error_8_range10-flw0-rtt,L,L
31,0.2047134140033716,0.14399676000592465,Link_Error_8_range10-flw1-rtt,L,L
32,0.2582696968658807,0.0705271125867622,Link_Error_8_range10-flw2-rtt,L,L
24,0.5914065024518609,0.15,Normal_1_range10-flw0-rtt,N,N
25,0.5854662963974709,0.15739180744833625,Normal_1_range10-flw1-rtt,N,N
26,0.5875319115989763,0.1579206460849472,Normal_1_range10-flw2-rtt,N,N
6,0.47514759379101645,0.17666666666666664,Normal_3_range10-flw0-rtt,N,N
7,0.4705268370365323,0.17744872460068428,Normal_3_range10-flw1-rtt,N,N
8,0.5874374736544345,0.1579206460849472,Normal_3_range10-flw2-rtt,N,N
3,0.578411078101052,0.21,Normal_5_range10-flw0-rtt,N,N
4,0.5996679606862548,0.17076398097448173,Normal_5_range10-flw1-rtt,N,N
5,0.593570754899289,0.21829820562569252,Normal_5_range10-flw2-rtt,N,N
9,0.08729392604669617,1.3766666666666667,TCP_Congestion_0_range10-flw0-rtt,T,T
10,0.09323486175417765,1.382853414558058,TCP_Congestion_0_range10-flw1-rtt,T,T
11,0.11149478607637481,1.3877789364257125,TCP_Congestion_0_range10-flw2-rtt,T,T
12,0.09000682494573503,0.36333333333333334,TCP_Congestion_1_range10-flw0-rtt,T,T
13,0.11865548659099723,0.5121204689430232,TCP_Congestion_1_range10-flw1-rtt,T,U
14,0.06407968430340004,1.622450523068979,TCP_Congestion_1_range10-flw2-rtt,T,T
0,0.05222201997065502,1.6433333333333333,TCP_Congestion_4_range10-flw0-rtt,T,T
1,0.07252173928100025,0.793709719859652,TCP_Congestion_4_range10-flw1-rtt,T,T
2,0.10806043028683969,0.5004402698844147,TCP_Congestion_4_range10-flw2-rtt,T,U
15,0.05109406529556317,0.33,UDP_Congestion_0_range10-flw0-rtt,U,U
16,0.04481880090359483,0.4118149646393239,UDP_Congestion_0_range10-flw1-rtt,U,U
17,0.08765580577384932,0.6754081506575502,UDP_Congestion_0_range10-flw2-rtt,U,U
33,0.05093100173326805,0.35,UDP_Congestion_5_range10-flw0-rtt,U,U
34,0.09049125650127857,0.3248516574953006,UDP_Congestion_5_range10-flw1-rtt,U,U
35,0.1275618313850422,0.3594977473770356,UDP_Congestion_5_range10-flw2-rtt,U,U
21,0.07655457600802584,0.5033333333333333,UDP_Congestion_9_range10-flw0-rtt,U,T
22,0.06755643662154683,0.49210319986590695,UDP_Congestion_9_range10-flw1-rtt,U,T
23,0.21783463990625615,0.3729369155032799,UDP_Congestion_9_range10-flw2-rtt,U,U
