,amplitude_1,frequency_1,name,label,pred
12,0.1482921519118241,0.13666666666666666,Link_Error_1_range50-flw0-rtt,L,L
13,0.26673465397366747,0.06369473086679847,Link_Error_1_range50-flw1-rtt,L,L
14,0.08880607607162505,0.17157977502392613,Link_Error_1_range50-flw2-rtt,L,T
24,0.32373749499401605,0.09666666666666665,Link_Error_2_range50-flw0-rtt,L,L
25,0.21693436456718784,2.465798949220745,Link_Error_2_range50-flw1-rtt,L,T
26,0.14890646809206837,0.03027470968824012,Link_Error_2_range50-flw2-rtt,L,L
9,0.3177258069000951,0.06333333333333332,Link_Error_7_range50-flw0-rtt,L,L
10,0.44097750432933475,0.07715587865902948,Link_Error_7_range50-flw1-rtt,L,L
11,0.1013877915047222,0.05044427449581535,Link_Error_7_range50-flw2-rtt,L,L
21,0.7105115647868145,0.056666666666666664,Normal_2_range50-flw0-rtt,N,N
22,0.5970483937936988,0.11058320476360277,Normal_2_range50-flw1-rtt,N,N
23,0.6170457180726924,0.10424448924117848,Normal_2_range50-flw2-rtt,N,N
6,0.5954197428952538,0.10999999999999999,Normal_7_range50-flw0-rtt,N,N
7,0.5979005320159907,0.15070437718854152,Normal_7_range50-flw1-rtt,N,N
8,0.5964666753230669,0.1914693163870224,Normal_7_range50-flw2-rtt,N,N
0,0.6381170019214999,0.08333333333333331,Normal_9_range50-flw0-rtt,N,N
1,0.5959139529922949,0.19751080810944566,Normal_9_range50-flw1-rtt,N,N
2,0.7372335729109982,0.05723947545340651,Normal_9_range50-flw2-rtt,N,N
18,0.12432781482746624,0.36333333333333334,TCP_Congestion_1_range50-flw0-rtt,T,T
19,0.10860771139019025,0.3116018098771273,TCP_Congestion_1_range50-flw1-rtt,T,T
20,0.13136642773835014,0.7513532022791406,TCP_Congestion_1_range50-flw2-rtt,T,T
15,0.20461595921209152,0.6099999999999999,TCP_Congestion_2_range50-flw0-rtt,T,T
16,0.3135834906458596,0.6136454014168099,TCP_Congestion_2_range50-flw1-rtt,T,T
17,0.23393636070312065,0.6153373748557613,TCP_Congestion_2_range50-flw2-rtt,T,T
3,0.11825410963241059,0.3233333333333333,TCP_Congestion_4_range50-flw0-rtt,T,T
4,0.12236840028206376,0.7485787996508737,TCP_Congestion_4_range50-flw1-rtt,T,T
5,0.08140242179888206,0.6624123652818852,TCP_Congestion_4_range50-flw2-rtt,T,T
