,amplitude_1,frequency_1,amplitude_2,frequency_2,name,label,pred
18,0.2946277338416856,0.04333333333333333,0.10984951031739668,0.15666666666666665,Link_Error_0_range50-flw0-rtt,L,L
19,0.22034856734189556,0.09712059863261564,0.1542726358869715,0.18419423878599517,Link_Error_0_range50-flw1-rtt,L,L
20,0.2362133804285677,0.09078137648976861,0.22132173870388105,0.13785320133631532,Link_Error_0_range50-flw2-rtt,L,L
0,0.17314495642375546,0.08333333333333331,0.1699596192766062,0.09666666666666665,Link_Error_3_range50-flw0-rtt,L,L
1,0.162754411139824,2.4592542997444493,0.07106777821212486,0.08387634037327589,Link_Error_3_range50-flw1-rtt,L,T
2,0.13852215553108882,0.13813186357436816,0.10885841891859784,0.24594209855924087,Link_Error_3_range50-flw2-rtt,L,L
6,0.26498018407602486,0.06333333333333332,0.26246836476153473,0.12999999999999998,Link_Error_9_range50-flw0-rtt,L,L
7,0.328711563590175,0.056917515437955334,0.30274484856814143,0.10379076344568325,Link_Error_9_range50-flw1-rtt,L,L
8,0.17340228615941122,0.13105815040051874,0.17276844382153006,0.09073256566189758,Link_Error_9_range50-flw2-rtt,L,L
3,0.5664369487407124,0.12999999999999998,0.16787102744775173,0.25666666666666665,Normal_3_range50-flw0-rtt,N,N
4,0.7810483224049551,0.04365084521635257,0.130778861260415,0.09065944775703995,Normal_3_range50-flw1-rtt,N,N
5,0.7306339924948672,0.057243330251285085,0.23575307644528945,0.11111940578190635,Normal_3_range50-flw2-rtt,N,N
15,0.4752816935092991,0.17666666666666664,0.07477586160025265,0.12333333333333332,Normal_6_range50-flw0-rtt,N,L
16,0.7808238655434471,0.0436567087616966,0.10827448428655576,0.09067162588967755,Normal_6_range50-flw1-rtt,N,N
17,0.585677301901523,0.20487823129496172,0.14675075773247248,0.41983244117820023,Normal_6_range50-flw2-rtt,N,N
9,0.5954197428952538,0.10999999999999999,0.19153974144922237,0.2233333333333333,Normal_7_range50-flw0-rtt,N,N
10,0.5979005320159907,0.15070437718854152,0.16166087026409987,0.3047577405368284,Normal_7_range50-flw1-rtt,N,N
11,0.5964666753230669,0.1914693163870224,0.14596479716062546,0.3862977435878522,Normal_7_range50-flw2-rtt,N,N
21,0.10700017930156976,0.5366666666666666,0.09638821582307107,0.18333333333333332,TCP_Congestion_0_range50-flw0-rtt,T,T
22,0.19342868142914169,0.5462140114080984,0.07324738533303272,0.20441137850241722,TCP_Congestion_0_range50-flw1-rtt,T,T
23,0.24999286885854316,0.548714706493345,0.06628633242822499,0.5015858359969841,TCP_Congestion_0_range50-flw2-rtt,T,T
24,0.12432781482746624,0.36333333333333334,0.09723782851016638,0.2966666666666667,TCP_Congestion_1_range50-flw0-rtt,T,T
25,0.10860771139019025,0.3116018098771273,0.08291077941224567,0.21778621120444383,TCP_Congestion_1_range50-flw1-rtt,T,T
26,0.13136642773835014,0.7513532022791406,0.11022434146534213,0.7041830460822439,TCP_Congestion_1_range50-flw2-rtt,T,T
12,0.20461595921209152,0.6099999999999999,0.06827799872321243,0.3833333333333333,TCP_Congestion_2_range50-flw0-rtt,T,T
13,0.3135834906458596,0.6136454014168099,0.09836040583220411,0.11736387458791447,TCP_Congestion_2_range50-flw1-rtt,T,T
14,0.23393636070312065,0.6153373748557613,0.07263661754133414,0.18493746238834358,TCP_Congestion_2_range50-flw2-rtt,T,T
