,amplitude_1,frequency_1,amplitude_2,frequency_2,amplitude_3,frequency_3,name,label,pred
21,0.1482921519118241,0.13666666666666666,0.1343581953202899,0.21,0.12724723326976264,0.27666666666666667,Link_Error_1_range50-flw0-rtt,L,L
22,0.26673465397366747,0.06369473086679847,0.17278523041974123,0.20449360962498458,0.1598287456281902,0.12403710747744966,Link_Error_1_range50-flw1-rtt,L,L
23,0.08880607607162505,0.17157977502392613,0.07713159208654825,0.057193258341308714,0.07121637865160617,0.23886596130781873,Link_Error_1_range50-flw2-rtt,L,L
18,0.32373749499401605,0.09666666666666665,0.2928341877822139,0.06999999999999999,0.2919924808838288,0.1433333333333333,Link_Error_2_range50-flw0-rtt,L,L
19,0.21693436456718784,2.465798949220745,0.16774102375591168,0.12412865458662253,0.10080824056366693,2.4188313501879692,Link_Error_2_range50-flw1-rtt,L,T
20,0.14890646809206837,0.03027470968824012,0.11210250089951788,3.1317505244168395,0.10860861001562412,3.0779288183044127,Link_Error_2_range50-flw2-rtt,L,T
9,0.24987401214091975,0.08999999999999998,0.12300741874675196,0.18999999999999997,0.09823679031016146,0.33666666666666667,Link_Error_4_range50-flw0-rtt,L,L
10,0.2517213984289615,0.31804717161822027,0.14552510554403014,0.1640453832557136,0.11241550505695845,0.11717527375408116,Link_Error_4_range50-flw1-rtt,L,T
11,0.25133606070635595,0.06387962765035735,0.15975322927807542,0.10422465564005673,0.15022150379181246,0.15801802629298925,Link_Error_4_range50-flw2-rtt,L,L
12,0.5878082536086505,0.16999999999999998,0.1367450783357951,0.3433333333333333,0.060032714522807944,0.5099999999999999,Normal_1_range50-flw0-rtt,N,N
13,0.7392981497350808,0.043644983245866,0.12973005059537718,0.09736188570231646,0.05546767374378298,0.1376495625446543,Normal_1_range50-flw1-rtt,N,N
14,0.5975677650490292,0.14450001198005913,0.17283564810667018,0.29908142014477357,0.07112137921716849,0.44694189751971775,Normal_1_range50-flw2-rtt,N,N
3,0.7105115647868145,0.056666666666666664,0.2204783298481406,0.10333333333333332,0.09434511170572686,0.15,Normal_2_range50-flw0-rtt,N,N
4,0.5970483937936988,0.11058320476360277,0.19144723986665274,0.21781540332224786,0.08762327168953236,0.3317496142908083,Normal_2_range50-flw1-rtt,N,N
5,0.6170457180726924,0.10424448924117848,0.15548084059136932,0.2051262530229641,0.08496236442646522,0.299282565885964,Normal_2_range50-flw2-rtt,N,N
6,0.6218253058115922,0.08999999999999998,0.2149891667577417,0.18333333333333332,0.07439730236049759,0.27,Normal_5_range50-flw0-rtt,N,N
7,0.5861913866514838,0.11726949834085437,0.22590234922126856,0.23788955377716173,0.11630497233540249,0.3451073808316571,Normal_5_range50-flw1-rtt,N,N
8,0.5981044222942331,0.11095501570971719,0.19759987360798945,0.21854775821610964,0.0855674658047153,0.3328650471291516,Normal_5_range50-flw2-rtt,N,N
15,0.10700017930156976,0.5366666666666666,0.09638821582307107,0.18333333333333332,0.08639811421298535,0.12999999999999998,TCP_Congestion_0_range50-flw0-rtt,T,T
16,0.19342868142914169,0.5462140114080984,0.07324738533303272,0.20441137850241722,0.056095536591616695,0.49259791212877596,TCP_Congestion_0_range50-flw1-rtt,T,T
17,0.24999286885854316,0.548714706493345,0.06628633242822499,0.5015858359969841,0.048147862032472566,0.16495104673726324,TCP_Congestion_0_range50-flw2-rtt,T,T
0,0.20461595921209152,0.6099999999999999,0.06827799872321243,0.3833333333333333,0.06587109268326602,0.17666666666666664,TCP_Congestion_2_range50-flw0-rtt,T,T
1,0.3135834906458596,0.6136454014168099,0.09836040583220411,0.11736387458791447,0.06033794611459545,0.47951525903062203,TCP_Congestion_2_range50-flw1-rtt,T,T
2,0.23393636070312065,0.6153373748557613,0.07263661754133414,0.18493746238834358,0.06321595983388914,1.2138622531307641,TCP_Congestion_2_range50-flw2-rtt,T,T
24,0.2923624087160855,0.43666666666666665,0.11520296325402761,0.48333333333333334,0.03615253787135069,0.9099999999999999,TCP_Congestion_7_range50-flw0-rtt,T,T
25,0.22641756063889587,0.4389229795043406,0.11413813203805917,0.06366058481360666,0.08747753791672826,0.4858307788406824,TCP_Congestion_7_range50-flw1-rtt,T,T
26,0.39390930473435953,0.44116978964923403,0.1905382504967622,0.4883177061002972,0.08960954920023195,0.36034479001884,TCP_Congestion_7_range50-flw2-rtt,T,T
