,amplitude_1,frequency_1,amplitude_2,frequency_2,amplitude_3,frequency_3,amplitude_4,frequency_4,name,label,pred
24,0.32373749499401605,0.09666666666666665,0.2928341877822139,0.06999999999999999,0.2919924808838288,0.1433333333333333,0.1362389846022683,0.17666666666666664,Link_Error_2_range50-flw0-rtt,L,L
25,0.21693436456718784,2.465798949220745,0.16774102375591168,0.12412865458662253,0.10080824056366693,2.4188313501879692,0.04387080806395836,2.593282432309709,Link_Error_2_range50-flw1-rtt,L,T
26,0.14890646809206837,0.03027470968824012,0.11210250089951788,3.1317505244168395,0.10860861001562412,3.0779288183044127,0.04324085827296258,3.199027657057373,Link_Error_2_range50-flw2-rtt,L,T
6,0.24987401214091975,0.08999999999999998,0.12300741874675196,0.18999999999999997,0.09823679031016146,0.33666666666666667,0.09634507571499629,0.29,Link_Error_4_range50-flw0-rtt,L,L
7,0.2517213984289615,0.31804717161822027,0.14552510554403014,0.1640453832557136,0.11241550505695845,0.11717527375408116,0.07440506603900283,0.24439414240136925,Link_Error_4_range50-flw1-rtt,L,T
8,0.25133606070635595,0.06387962765035735,0.15975322927807542,0.10422465564005673,0.15022150379181246,0.15801802629298925,0.14129170825137766,0.19836305428268863,Link_Error_4_range50-flw2-rtt,L,L
0,0.17850810985565316,0.04333333333333333,0.13850207764143205,0.12333333333333332,0.12342917503652585,0.19666666666666666,0.11655503673694348,0.17666666666666664,Link_Error_6_range50-flw0-rtt,L,L
1,0.5025535092208699,0.036831446876849,0.1721997866328367,0.08370783381102045,0.08465003895069022,0.2511235014330614,0.06480853355239266,0.1305842207451919,Link_Error_6_range50-flw1-rtt,L,N
2,0.33031315950732815,0.06391757619975898,0.2862842571418454,0.1042865716943436,0.2589288070378755,0.1311992353574,0.23442531405724062,0.1715682308519846,Link_Error_6_range50-flw2-rtt,L,L
21,0.7105115647868145,0.056666666666666664,0.2204783298481406,0.10333333333333332,0.09434511170572686,0.15,0.03302840293948335,0.21,Normal_2_range50-flw0-rtt,N,N
22,0.5970483937936988,0.11058320476360277,0.19144723986665274,0.21781540332224786,0.08762327168953236,0.3317496142908083,0.047447600906627314,0.05696710548428021,Normal_2_range50-flw1-rtt,N,N
23,0.6170457180726924,0.10424448924117848,0.15548084059136932,0.2051262530229641,0.08496236442646522,0.299282565885964,0.047480437768548,0.15132264567267845,Normal_2_range50-flw2-rtt,N,N
12,0.7803203543239953,0.04333333333333333,0.12384256791815923,0.08999999999999998,0.04680571457340661,0.13666666666666666,0.03148370557115853,0.18999999999999997,Normal_4_range50-flw0-rtt,N,N
13,0.6192919954090449,0.10389511848115525,0.158518513582218,0.2111416923971865,0.08220242020656497,0.3049824445737138,0.04700216056934845,0.15081549456941892,Normal_4_range50-flw1-rtt,N,N
14,0.605740091384786,0.10424448924117848,0.16049686168965843,0.2051262530229641,0.09227729462638029,0.299282565885964,0.05758074569910505,0.15132264567267845,Normal_4_range50-flw2-rtt,N,N
18,0.6218253058115922,0.08999999999999998,0.2149891667577417,0.18333333333333332,0.07439730236049759,0.27,0.04600580037494402,0.1433333333333333,Normal_5_range50-flw0-rtt,N,N
19,0.5861913866514838,0.11726949834085437,0.22590234922126856,0.23788955377716173,0.11630497233540249,0.3451073808316571,0.05392971527323692,0.4590263220770585,Normal_5_range50-flw1-rtt,N,N
20,0.5981044222942331,0.11095501570971719,0.19759987360798945,0.21854775821610964,0.0855674658047153,0.3328650471291516,0.04473746537270178,0.05715864445652098,Normal_5_range50-flw2-rtt,N,N
3,0.20461595921209152,0.6099999999999999,0.06827799872321243,0.3833333333333333,0.06587109268326602,0.17666666666666664,0.061931570907937446,0.42333333333333334,TCP_Congestion_2_range50-flw0-rtt,T,T
4,0.3135834906458596,0.6136454014168099,0.09836040583220411,0.11736387458791447,0.06033794611459545,0.47951525903062203,0.06003189391262951,1.217231042154656,TCP_Congestion_2_range50-flw1-rtt,T,T
5,0.23393636070312065,0.6153373748557613,0.07263661754133414,0.18493746238834358,0.06321595983388914,1.2138622531307641,0.05022826819443804,0.46738740494508646,TCP_Congestion_2_range50-flw2-rtt,T,T
9,0.19272096153006116,0.43666666666666665,0.08809848842796146,0.39,0.08495661600828296,0.29,0.082789403573456,0.06333333333333332,TCP_Congestion_5_range50-flw0-rtt,T,T
10,0.39288837278500877,0.4464917714755744,0.08953093276221204,0.37263598972773504,0.06492775489758475,0.0503562148280723,0.05484282356328331,0.8829122999855343,TCP_Congestion_5_range50-flw1-rtt,T,T
11,0.3343602484407545,0.44799572942176247,0.0772406737182847,0.3941015063334301,0.07094646509317266,0.19873494763822544,0.05715529465032121,0.2593659486125993,TCP_Congestion_5_range50-flw2-rtt,T,T
15,0.14502338856532113,0.1633333333333333,0.10767538498974154,0.30333333333333334,0.08869146793910233,0.7899999999999999,0.04767058977740768,0.37,TCP_Congestion_6_range50-flw0-rtt,T,L
16,0.11443819590100436,0.30500288864548986,0.1041178201942253,0.7876448223262651,0.09681923200159405,0.19104576541530685,0.05873652253792158,0.3787398507356083,TCP_Congestion_6_range50-flw1-rtt,T,T
17,0.24592036980802381,0.1578888155695034,0.16670152229609517,0.312418294637528,0.0932223085546497,0.7827254048445594,0.0642206540165754,0.19148218058429137,TCP_Congestion_6_range50-flw2-rtt,T,L
